Department,Title,Total
Customer Service,Senior Staff,70
Customer Service,Staff,23
Development,Assistant Engineer,12
Development,Engineer,107
Development,Senior Engineer,266
Development,Technique Leader,33
Finance,Senior Staff,59
Finance,Staff,13
Human Resources,Senior Staff,81
Human Resources,Staff,21
Marketing,Senior Staff,84
Marketing,Staff,17
Production,Assistant Engineer,16
Production,Engineer,59
Production,Senior Engineer,217
Production,Technique Leader,34
Quality Management,Assistant Engineer,1
Quality Management,Engineer,24
Quality Management,Senior Engineer,46
Quality Management,Technique Leader,10
Research,Senior Staff,71
Research,Staff,21
Sales,Senior Staff,204
Sales,Staff,60
